Data incidente,Giorno,Denominazione strada o centro abitato,Localita' dell'incidente,Latitudine,Longitudine,Centro abitato,Tipologia del sinistro,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Persone ferite,Pedoni feriti,Persone decedute,Pedoni deceduti,Prognosi riservate,Prognosi fino a 20 gg,Prognosi da 21 a 40 gg,Prognosi oltre 40 gg,N. veicoli coinvolti,Autovettura pr.,Autovettura pb.,Autocarro,Autobus,Motocarro,Motociclo,Ciclomotore,Quadriciclo,Velocipede,Micromobilita' elettrica,Altro,Violazioni,LAT/LONG
26 July 2023,Mer,VIA VISCONTI in prossimita' del civico n.2,MONZA,45.5804564,9.2713741,si,Scontro frontale/laterale DX fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,,1.0,,Art.141/2 CdS,POINT (9.2713741 45.5804564)
17 February 2023,Ven,VIA BUONARROTI all'intersezione con VIA FERMI,MONZA,45.5719964,9.2836027,si,Tamponamento,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Scarso,no,si,1.0,,,,,1.0,,,2,2.0,,,,,,,,,,,Art.141/2 CdS,POINT (9.2836027 45.5719964)
07 April 2023,Ven,Via Italia in prossimita' del civico n.39,MONZA,45.5813016,9.273899,si,Veicolo in marcia contro ostacolo fisso,Strada Urbana,Rettilineo,Asciutto,In cubetti di porfido,Sereno,Scarso,si,no,,,,,,,,,1,,,1.0,,,,,,,,,"Art.141/2 CdS, Art.189/2 CdS, Art.189/4 CdS",POINT (9.273899 45.5813016)
23 May 2023,Mar,VIA MARCONI all'intersezione con Via Angelo Barzago e Angelindo Beretta,MONZA,45.5596398,9.2685173,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Intenso,no,si,1.0,,,,,1.0,,,2,1.0,,,,,1.0,,,,,,"Art.143/1 CdS, Art.154/1 CdS",POINT (9.2685173 45.5596398)
31 January 2023,Mar,Via Wolfgang Amadeus Mozart all'intersezione con Via Andrea Lissoni,MONZA,45.597831,9.2648814,si,Investimento di pedone,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,1.0,,,,1.0,,,1,1.0,,,,,,,,,,,Art.191/1 CdS,POINT (9.2648814 45.597831)
12 September 2023,Mar,Viale per Biassono provenienza s. Maria delle selve dir. Monza,MONZA,45.6173993,9.2785623,si,Veicolo in marcia contro ostacolo fisso,Strada Urbana,Rettilineo,Asciutto,In cubetti di porfido,Sereno,Scarso,no,si,1.0,,,,,1.0,,,1,,,,,,,,,1.0,,,,POINT (9.2785623 45.6173993)
16 November 2023,Gio,Via Lazzaro Spallanzani in prossimita' del civico n.15,MONZA,45.5692093,9.2621693,si,Tamponamento,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,1.0,,,,,"Art.141/2 CdS, Art.186/2 bis CdS",POINT (9.2621693 45.5692093)
23 March 2023,Gio,Via Lecco in prossimita' del civico n.53,MONZA,45.5894324,9.286693,si,Tamponamento,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,2.0,,,,,,,,,,,Art.141/2 CdS,POINT (9.286693 45.5894324)
04 September 2023,Lun,VIA ROMAGNA all'intersezione con Via Lipari,MONZA,45.5729302,9.251964,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,,1.0,,Art.145/4 CdS,POINT (9.251964 45.5729302)
21 October 2023,Sab,VIA BORGAZZI in prossimita' del civico n.165,MONZA,45.5601926,9.2560749,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,2,2.0,,,,,,,,,,,"Art.100/12 CdS, Art.145/4 CdS",POINT (9.2560749 45.5601926)
26 October 2023,Gio,Via della Taccona all'intersezione con Via Padre Annibale Maria di Francia,MONZA,45.5780561,9.2402111,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,1.0,,,,,,Art.154/1 CdS,POINT (9.2402111 45.5780561)
18 July 2023,Mar,L.GO MAZZINI all'intersezione semaforizzata con Corso Milano,MONZA,45.5801917,9.2735444,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Intersezione semaforizzata,Asciutto,Asfaltata,Sereno,Intenso,no,no,,,,,,,,,2,2.0,,,,,,,,,,,,POINT (9.2735444 45.5801917)
12 October 2023,Gio,VIA REGINA MARGHERITA all'intersezione con Piazza Gianni Citterio,MONZA,45.58855,9.27548,si,Veicolo in marcia contro ostacolo fisso,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,1.0,,,,,Art.141/2 CdS,POINT (9.27548 45.58855)
26 August 2023,Sab,VIALE STUCCHI in prossimita' del civico n.s.n.c.,MONZA,45.58110546,9.309363689,si,Scontro frontale/laterale DX fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,,,,,,,,,2,2.0,,,,,,,,,,,,POINT (9.309363689 45.58110546)
10 October 2023,Mar,Corso Milano in prossimita' del civico n.5,MONZA,45.5798661,9.273003555,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,no,,,,,,,,,2,1.0,,1.0,,,,,,,,,Art.154/6 CdS,POINT (9.273003555 45.5798661)
26 July 2023,Mer,VIA SICILIA rotatoria stucchi,MONZA,45.5812018,9.3079905,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,2,1.0,,1.0,,,,,,,,,,POINT (9.3079905 45.5812018)
24 September 2023,Dom,Via Valosa di Sopra in prossimita' del civico n.7,MONZA,45.56740041,9.242839338,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,2.0,,,,,2.0,,,3,1.0,,,,,,,,2.0,,,Art.157/7 CdS,POINT (9.242839338 45.56740041)
25 October 2023,Mer,Via Giorgio Giulini opposto civici 5,MONZA,45.5889477,9.2666616,si,Veicolo in marcia contro ostacolo fisso,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,si,no,,,,,,,,,2,2.0,,,,,,,,,,,"Art.15/1 CdS, Art.141/2 CdS",POINT (9.2666616 45.5889477)
10 September 2023,Dom,VIA VISCONTI all'intersezione con Via Bergamo,MONZA,45.5861285,9.2801053,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,2,1.0,,,,,1.0,,,,,,Art.148/11 CdS,POINT (9.2801053 45.5861285)
